,Tweets,Sentiment
0,rt garimas38018144 kimansingh17 hdfc_bank icicibank please teach bank axisbanksupport solve customer issue axisbank,Neutral
1,rt garimas38018144 kimansingh17 hdfc_bank icicibank please teach bank axisbanksupport solve customer issue axisbank,Neutral
2,rt garimas38018144 kimansingh17 hdfc_bank icicibank please teach bank axisbanksupport solve customer issue axisbank,Neutral
3,rt garimas38018144 kimansingh17 hdfc_bank icicibank please teach bank axisbanksupport solve customer issue axisbank,Neutral
4,rt prashant280294 axisbank seems big move coming look bullish 751 785795 june series 841 july series,Neutral
5,rt cscegov_ launch axis bank bcs csc hear launch watch live csc facebook page 17th june,Positive
6,rt cscegov_ launch axis bank bcs csc hear launch watch live csc facebook page 17th june,Positive
7,rt cscegov_ launch axis bank bcs csc hear launch watch live csc facebook page 17th june,Positive
8,rt cscegov_ launch axis bank bcs csc hear launch watch live csc facebook page 17th june,Positive
9,axis bank revise sm alert charge saving account detail inside httpstco8bhb2fppzz axisbank via goodreturnsin,Neutral
10,rt cscegov_ launch axis bank bcs csc hear launch watch live csc facebook page 17th june,Positive
11,axis bank making interesting pattern weekly chart failed cross 750 close 750 tom httpstcousnbbbgl1j,Neutral
12,rt cscegov_ launch axis bank bcs csc hear launch watch live csc facebook page 17th june,Positive
13,axisbank 760800 ajantpharm 2050 andhrsugar 470 ashiana 150165 bataindia httpstcoughpffsni8,Neutral
14,rt cscegov_ launch axis bank bcs csc hear launch watch live csc facebook page 17th june,Positive
15,axisbanksupport cant visit bank situation account updated address cant update httpstcozxihuxktyv,Neutral
16,axisbank buy cmp 742,Neutral
17,19 30 httpstco9ei8dkvq1p,Neutral
18,axisbank axisbanksupport impressed twitter help center service center amazing twic httpstcovp4n6fqmnn,Positive
19,axisbank axisbanksupport impressed twitter help center service center amazing twic httpstcovp4n6fqmnn,Positive
20,rt cscegov_ launch axis bank bcs csc hear launch watch live csc facebook page 17th june,Positive
21,axisbank axisbanksupport axisbank temporary credit paid full remove temporary httpstcovfwipqctdq,Positive
22,axisbank axisbanksupport axisbank temporary credit paid full remove temporary httpstcovfwipqctdq,Positive
23,rt cscegov_ launch axis bank bcs csc hear launch watch live csc facebook page 17th june,Positive
24,axis bank loan account service call service harassment decent customer person httpstcoiyjltkmiav,Positive
25,sell axisbank 738 sl 746 tgt 735 728 722 intraday profit equity dailytrade intradaytrade httpstcoapownocooy,Neutral
26,rt cscegov_ launch axis bank bcs csc hear launch watch live csc facebook page 17th june,Positive
27,axisbank httpstcoozu8ircxme,Neutral
28,axisbank generate pin new cc app asking enter pin authenticate pin got mail httpstcoq8cgarw3og,Positive
29,rt bobinsingla axisbank generate pin new cc app asking enter pin authenticate pin got mail w,Positive
